Serial Number:20835041 --

"Date Time, GMT -0500","Temp, (*C)","Intensity, ( lux)","Host Connect","Button Down","Button Up","EOF"
2020-11-04 13:28:32,24.28,229, , , , 
2020-11-04 13:29:32,24.24,230, , , , 
2020-11-04 13:30:32,24.28,228, , , , 
2020-11-04 13:31:32,24.24,230, , , , 
2020-11-04 13:32:32,24.28,229, , , , 
2020-11-04 13:33:32,24.24,227, , , , 
2020-11-04 13:34:32,24.24,229, , , , 
2020-11-04 13:35:32,24.24,228, , , , 
2020-11-04 13:36:32,24.24,228, , , , 
2020-11-04 13:37:32,24.24,228, , , , 
2020-11-04 13:38:32,24.28,226, , , , 
2020-11-04 13:39:32,24.19,227, , , , 
2020-11-04 13:40:32,24.19,227, , , , 
2020-11-04 13:41:32,24.19,226, , , , 
2020-11-04 13:42:32,24.15,226, , , , 
2020-11-04 13:43:32,24.11,225, , , , 
2020-11-04 13:44:32,24.15,226, , , , 
2020-11-04 13:45:32,24.15,226, , , , 
2020-11-04 13:46:32,24.15,226, , , , 
2020-11-04 13:47:32,24.15,226, , , , 
2020-11-04 13:48:32,24.15,226, , , , 
2020-11-04 13:49:32,24.06,225, , , , 
2020-11-04 13:50:32,24.11,225, , , , 
2020-11-04 13:51:32,24.06,225, , , , 
2020-11-04 13:52:32,24.11,225, , , , 
2020-11-04 13:53:32,24.11,225, , , , 
2020-11-04 13:54:32,24.06,225, , , , 
2020-11-04 13:55:32,24.06,225, , , , 
2020-11-04 13:56:32,24.06,225, , , , 
2020-11-04 13:57:32,24.02,225, , , , 
2020-11-04 13:58:32,24.06,225, , , , 
2020-11-04 13:59:32,24.06,226, , , , 
2020-11-04 14:00:32,24.02,226, , , , 
2020-11-04 14:01:32,24.02,224, , , , 
2020-11-04 14:02:32,24.02,226, , , , 
2020-11-04 14:03:32,23.98,224, , , , 
2020-11-04 14:04:32,23.98,226, , , , 
2020-11-04 14:05:32,23.94,226, , , , 
2020-11-04 14:06:32,23.98,227, , , , 
2020-11-04 14:07:32,23.94,226, , , , 
2020-11-04 14:08:32,23.94,227, , , , 
2020-11-04 14:09:32,23.89,226, , , , 
2020-11-04 14:10:32,23.89,226, , , , 
2020-11-04 14:11:32,23.89,226, , , , 
2020-11-04 14:12:32,23.85,228, , , , 
2020-11-04 14:13:32,23.85,227, , , , 
2020-11-04 14:14:32,23.85,229, , , , 
2020-11-04 14:15:32,23.81,227, , , , 
2020-11-04 14:16:32,23.81,229, , , , 
2020-11-04 14:17:32,23.81,227, , , , 
2020-11-04 14:18:32,23.72,229, , , , 
2020-11-04 14:19:32,23.72,229, , , , 
2020-11-04 14:20:32,23.72,227, , , , 
2020-11-04 14:21:32,23.76,229, , , , 
2020-11-04 14:22:32,23.68,227, , , , 
2020-11-04 14:23:32,23.64,227, , , , 
2020-11-04 14:24:32,23.64,181, , , , 
2020-11-04 14:25:32,23.68,225, , , , 
2020-11-04 14:26:32,23.68,225, , , , 
2020-11-04 14:27:32,23.59,227, , , , 
2020-11-04 14:28:32,23.64,225, , , , 
2020-11-04 14:29:32,23.68,226, , , , 
2020-11-04 14:30:32,23.64,226, , , , 
2020-11-04 14:31:32,23.64,226, , , , 
2020-11-04 14:32:32,23.55,227, , , , 
2020-11-04 14:33:32,23.59,227, , , , 
2020-11-04 14:34:32,23.55,226, , , , 
2020-11-04 14:35:32,23.55,226, , , , 
2020-11-04 14:36:32,23.51,224, , , , 
2020-11-04 14:37:32,23.55,224, , , , 
2020-11-04 14:38:32,23.51,226, , , , 
2020-11-04 14:39:32,23.46,226, , , , 
2020-11-04 14:40:32,23.46,224, , , , 
2020-11-04 14:41:32,23.42,148, , , , 
2020-11-04 14:42:32,23.42,138, , , , 
2020-11-04 14:43:32,23.38,83, , , , 
2020-11-04 14:44:32,23.46,136, , , , 
2020-11-04 14:45:32,23.59,135, , , , 
2020-11-04 14:46:32,23.85,115, , , , 
2020-11-04 14:47:32,24.24,200, , , , 
2020-11-04 14:48:32,24.66,163, , , , 
2020-11-04 14:49:32,25.05,0, , , , 
2020-11-04 14:50:32,25.57,0, , , , 
2020-11-04 14:51:32,26.04,0, , , , 
2020-11-04 14:52:32,26.51,0, , , , 
2020-11-04 14:53:32,26.98,0, , , , 
2020-11-04 14:54:32,27.45,0, , , , 
2020-11-04 14:55:32,28.01,0, , , , 
2020-11-04 14:56:32,28.44,0, , , , 
2020-11-04 14:57:32,28.83,0, , , , 
2020-11-04 14:58:32,29.08,0, , , , 
2020-11-04 14:59:32,29.17,0, , , , 
2020-11-04 15:00:32,29.21,145, , , , 
2020-11-04 15:01:32,29.26,0, , , , 
2020-11-04 15:02:32,29.47,0, , , , 
2020-11-04 15:03:32,29.64,0, , , , 
2020-11-04 15:04:32,29.94,0, , , , 
2020-11-04 15:05:32,30.20,0, , , , 
2020-11-04 15:06:32,30.28,0, , , , 
2020-11-04 15:07:32,30.33,0, , , , 
2020-11-04 15:08:32,30.33,0, , , , 
2020-11-04 15:09:32,30.33,0, , , , 
2020-11-04 15:10:32,30.41,0, , , , 
2020-11-04 15:11:32,30.50,0, , , , 
2020-11-04 15:12:32,30.46,0, , , , 
2020-11-04 15:13:32,30.50,0, , , , 
2020-11-04 15:14:32,30.46,0, , , , 
2020-11-04 15:15:32,30.46,0, , , , 
2020-11-04 15:16:32,30.46,0, , , , 
2020-11-04 15:17:32,30.46,0, , , , 
2020-11-04 15:18:32,30.50,0, , , , 
2020-11-04 15:19:32,30.41,0, , , , 
2020-11-04 15:20:32,30.41,0, , , , 
2020-11-04 15:21:32,30.50,0, , , , 
2020-11-04 15:22:32,30.50,0, , , , 
2020-11-04 15:23:32,30.50,0, , , , 
2020-11-04 15:24:32,30.46,0, , , , 
2020-11-04 15:25:32,30.46,0, , , , 
2020-11-04 15:26:32,30.50,0, , , , 
2020-11-04 15:27:32,30.50,0, , , , 
2020-11-04 15:28:32,30.50,0, , , , 
2020-11-04 15:29:32,30.46,0, , , , 
2020-11-04 15:30:32,30.46,0, , , , 
2020-11-04 15:31:32,30.50,0, , , , 
2020-11-04 15:32:32,30.50,155, , , , 
2020-11-04 15:33:32,30.41,0, , , , 
2020-11-04 15:34:32,30.41,0, , , , 
2020-11-04 15:35:32,30.28,0, , , , 
2020-11-04 15:36:32,30.28,0, , , , 
2020-11-04 15:37:32,30.28,0, , , , 
2020-11-04 15:38:32,30.33,0, , , , 
2020-11-04 15:39:32,30.33,0, , , , 
2020-11-04 15:40:32,30.24,0, , , , 
2020-11-04 15:41:32,30.24,0, , , , 
2020-11-04 15:42:32,30.28,0, , , , 
2020-11-04 15:43:32,30.33,0, , , , 
2020-11-04 15:44:32,30.37,0, , , , 
2020-11-04 15:45:32,30.33,0, , , , 
2020-11-04 15:46:32,30.24,0, , , , 
2020-11-04 15:47:32,30.28,0, , , , 
2020-11-04 15:48:32,30.28,0, , , , 
2020-11-04 15:49:32,30.33,0, , , , 
2020-11-04 15:50:32,30.28,0, , , , 
2020-11-04 15:51:32,30.28,0, , , , 
2020-11-04 15:52:32,30.28,80, , , , 
2020-11-04 15:53:32,30.33,0, , , , 
2020-11-04 15:54:32,30.33,0, , , , 
2020-11-04 15:55:32,30.37,0, , , , 
2020-11-04 15:56:32,30.28,0, , , , 
2020-11-04 15:57:32,30.24,0, , , , 
2020-11-04 15:58:32,30.28,0, , , , 
2020-11-04 15:59:32,30.33,0, , , , 
2020-11-04 16:00:32,30.37,0, , , , 
2020-11-04 16:01:32,30.33,0, , , , 
2020-11-04 16:02:32,30.33,0, , , , 
2020-11-04 16:03:32,30.20,0, , , , 
2020-11-04 16:04:32,30.28,0, , , , 
2020-11-04 16:05:32,30.33,0, , , , 
2020-11-04 16:06:32,30.33,0, , , , 
2020-11-04 16:07:32,30.24,0, , , , 
2020-11-04 16:08:32,30.24,0, , , , 
2020-11-04 16:09:32,30.24,0, , , , 
2020-11-04 16:10:32,30.33,0, , , , 
2020-11-04 16:11:32,30.33,0, , , , 
2020-11-04 16:12:32,30.41,0, , , , 
2020-11-04 16:13:32,30.54,0, , , , 
2020-11-04 16:14:32,30.89,0, , , , 
2020-11-04 16:15:32,31.19,0, , , , 
2020-11-04 16:16:32,31.66,0, , , , 
2020-11-04 16:17:32,32.13,0, , , , 
2020-11-04 16:18:32,32.56,0, , , , 
2020-11-04 16:19:32,32.99,0, , , , 
2020-11-04 16:20:32,33.50,0, , , , 
2020-11-04 16:21:32,34.02,0, , , , 
2020-11-04 16:22:32,34.53,0, , , , 
2020-11-04 16:23:32,34.96,0, , , , 
2020-11-04 16:24:32,35.52,0, , , , 
2020-11-04 16:25:32,35.95,0, , , , 
2020-11-04 16:26:32,36.42,0, , , , 
2020-11-04 16:27:32,36.93,0, , , , 
2020-11-04 16:28:32,37.36,0, , , , 
2020-11-04 16:29:32,37.75,0, , , , 
2020-11-04 16:30:32,38.09,0, , , , 
2020-11-04 16:31:32,38.31,0, , , , 
2020-11-04 16:32:32,38.35,0, , , , 
2020-11-04 16:33:32,38.39,0, , , , 
2020-11-04 16:34:32,38.48,0, , , , 
2020-11-04 16:35:32,38.56,0, , , , 
2020-11-04 16:36:32,38.61,0, , , , 
2020-11-04 16:37:32,38.61,0, , , , 
2020-11-04 16:38:32,38.61,0, , , , 
2020-11-04 16:39:32,38.65,0, , , , 
2020-11-04 16:40:32,38.65,0, , , , 
2020-11-04 16:41:32,38.56,0, , , , 
2020-11-04 16:42:32,38.56,0, , , , 
2020-11-04 16:43:32,38.56,0, , , , 
2020-11-04 16:44:32,38.56,0, , , , 
2020-11-04 16:45:32,38.56,0, , , , 
2020-11-04 16:46:32,38.56,0, , , , 
2020-11-04 16:47:32,38.61,0, , , , 
2020-11-04 16:48:32,38.61,0, , , , 
2020-11-04 16:49:32,38.56,0, , , , 
2020-11-04 16:50:32,38.56,0, , , , 
2020-11-04 16:51:32,38.61,0, , , , 
2020-11-04 16:52:32,38.56,0, , , , 
2020-11-04 16:53:32,38.56,0, , , , 
2020-11-04 16:54:32,38.56,0, , , , 
2020-11-04 16:55:32,38.65,0, , , , 
2020-11-04 16:56:32,38.56,0, , , , 
2020-11-04 16:57:32,38.52,0, , , , 
2020-11-04 16:58:32,38.56,0, , , , 
2020-11-04 16:59:32,38.61,0, , , , 
2020-11-04 17:00:32,38.61,0, , , , 
2020-11-04 17:01:32,38.52,0, , , , 
2020-11-04 17:02:32,38.56,0, , , , 
2020-11-04 17:03:32,38.61,0, , , , 
2020-11-04 17:04:32,38.61,0, , , , 
2020-11-04 17:05:32,38.56,0, , , , 
2020-11-04 17:06:32,38.52,0, , , , 
2020-11-04 17:07:32,38.61,0, , , , 
2020-11-04 17:08:32,38.61,0, , , , 
2020-11-04 17:09:32,38.56,0, , , , 
2020-11-04 17:10:32,38.52,0, , , , 
2020-11-04 17:11:32,38.56,0, , , , 
2020-11-04 17:12:32,38.56,0, , , , 
2020-11-04 17:13:32,38.56,0, , , , 
2020-11-04 17:14:32,38.52,105, , , , 
2020-11-04 17:15:32,38.65,0, , , , 
2020-11-04 17:16:32,38.56,0, , , , 
2020-11-04 17:17:32,38.48,0, , , , 
2020-11-04 17:18:32,38.48,0, , , , 
2020-11-04 17:19:32,38.52,0, , , , 
2020-11-04 17:20:32,38.56,0, , , , 
2020-11-04 17:21:32,38.52,0, , , , 
2020-11-04 17:22:32,38.44,0, , , , 
2020-11-04 17:23:32,38.35,0, , , , 
2020-11-04 17:24:32,38.26,0, , , , 
2020-11-04 17:25:32,38.18,0, , , , 
2020-11-04 17:26:32,38.01,0, , , , 
2020-11-04 17:27:32,37.88,0, , , , 
2020-11-04 17:28:32,37.75,0, , , , 
2020-11-04 17:29:32,37.66,0, , , , 
2020-11-04 17:30:32,37.62,0, , , , 
2020-11-04 17:31:32,37.62,0, , , , 
2020-11-04 17:32:32,37.58,0, , , , 
2020-11-04 17:33:32,37.58,0, , , , 
2020-11-04 17:34:32,37.54,0, , , , 
2020-11-04 17:35:32,37.54,0, , , , 
2020-11-04 17:36:32,37.49,0, , , , 
2020-11-04 17:37:32,37.49,0, , , , 
2020-11-04 17:38:32,37.49,0, , , , 
2020-11-04 17:39:32,37.58,0, , , , 
2020-11-04 17:40:32,37.58,0, , , , 
2020-11-04 17:41:32,37.54,0, , , , 
2020-11-04 17:42:32,37.49,0, , , , 
2020-11-04 17:43:32,37.58,0, , , , 
2020-11-04 17:44:32,37.54,0, , , , 
2020-11-04 17:45:32,37.49,0, , , , 
2020-11-04 17:46:32,37.49,0, , , , 
2020-11-04 17:47:32,37.58,0, , , , 
2020-11-04 17:48:32,37.58,0, , , , 
2020-11-04 17:49:32,37.54,0, , , , 
2020-11-04 17:50:32,37.45,0, , , , 
2020-11-04 17:51:32,37.45,0, , , , 
2020-11-04 17:52:32,37.49,0, , , , 
2020-11-04 17:53:32,37.45,0, , , , 
2020-11-04 17:54:32,37.41,0, , , , 
2020-11-04 17:55:32,37.45,0, , , , 
2020-11-04 17:56:32,37.45,0, , , , 
2020-11-04 17:57:32,37.49,0, , , , 
2020-11-04 17:58:32,37.41,0, , , , 
2020-11-04 17:59:32,37.45,0, , , , 
2020-11-04 18:00:32,37.49,0, , , , 
2020-11-04 18:01:32,37.41,0, , , , 
2020-11-04 18:02:32,37.41,0, , , , 
2020-11-04 18:03:32,37.32,0, , , , 
2020-11-04 18:04:32,37.23,0, , , , 
2020-11-04 18:05:32,37.11,0, , , , 
2020-11-04 18:06:32,36.89,0, , , , 
2020-11-04 18:07:32,36.81,0, , , , 
2020-11-04 18:08:32,36.63,0, , , , 
2020-11-04 18:09:32,36.59,0, , , , 
2020-11-04 18:10:32,36.51,0, , , , 
2020-11-04 18:11:32,36.55,0, , , , 
2020-11-04 18:12:32,36.51,0, , , , 
2020-11-04 18:13:32,36.46,0, , , , 
2020-11-04 18:14:32,36.51,0, , , , 
2020-11-04 18:15:32,36.51,0, , , , 
2020-11-04 18:16:32,36.46,0, , , , 
2020-11-04 18:17:32,36.42,0, , , , 
2020-11-04 18:18:32,36.46,0, , , , 
2020-11-04 18:19:32,36.46,0, , , , 
2020-11-04 18:20:32,36.46,0, , , , 
2020-11-04 18:21:32,36.42,0, , , , 
2020-11-04 18:22:32,36.46,0, , , , 
2020-11-04 18:23:32,36.46,0, , , , 
2020-11-04 18:24:32,36.46,0, , , , 
2020-11-04 18:25:32,36.42,0, , , , 
2020-11-04 18:26:32,36.46,0, , , , 
2020-11-04 18:27:32,36.51,0, , , , 
2020-11-04 18:28:32,36.42,0, , , , 
2020-11-04 18:29:32,36.38,0, , , , 
2020-11-04 18:30:32,36.38,0, , , , 
2020-11-04 18:31:32,36.42,0, , , , 
2020-11-04 18:32:32,36.42,0, , , , 
2020-11-04 18:33:32,36.42,0, , , , 
2020-11-04 18:34:32,36.46,0, , , , 
2020-11-04 18:35:32,36.38,0, , , , 
2020-11-04 18:36:32,36.38,0, , , , 
2020-11-04 18:37:32,36.33,0, , , , 
2020-11-04 18:38:32,36.42,0, , , , 
2020-11-04 18:39:32,36.42,0, , , , 
2020-11-04 18:40:32,36.38,0, , , , 
2020-11-04 18:41:32,36.33,0, , , , 
2020-11-04 18:42:32,36.38,0, , , , 
2020-11-04 18:43:32,36.38,0, , , , 
2020-11-04 18:44:32,36.33,0, , , , 
2020-11-04 18:45:32,36.21,0, , , , 
2020-11-04 18:46:32,36.16,0, , , , 
2020-11-04 18:47:32,35.99,0, , , , 
2020-11-04 18:48:32,35.78,0, , , , 
2020-11-04 18:49:32,35.69,0, , , , 
2020-11-04 18:50:32,35.56,0, , , , 
2020-11-04 18:51:32,35.48,0, , , , 
2020-11-04 18:52:32,35.48,0, , , , 
2020-11-04 18:53:32,35.48,0, , , , 
2020-11-04 18:54:32,35.43,0, , , , 
2020-11-04 18:55:32,35.43,0, , , , 
2020-11-04 18:56:32,35.39,0, , , , 
2020-11-04 18:57:32,35.39,0, , , , 
2020-11-04 18:58:32,35.39,0, , , , 
2020-11-04 18:59:32,35.39,0, , , , 
2020-11-04 19:00:32,35.35,0, , , , 
2020-11-04 19:01:32,35.35,0, , , , 
2020-11-04 19:02:32,35.39,0, , , , 
2020-11-04 19:03:32,35.39,0, , , , 
2020-11-04 19:04:32,35.35,0, , , , 
2020-11-04 19:05:32,35.39,0, , , , 
2020-11-04 19:06:32,35.43,0, , , , 
2020-11-04 19:07:32,35.39,0, , , , 
2020-11-04 19:08:32,35.35,0, , , , 
2020-11-04 19:09:32,35.43,0, , , , 
2020-11-04 19:10:32,35.43,0, , , , 
2020-11-04 19:11:32,35.39,0, , , , 
2020-11-04 19:12:32,35.35,0, , , , 
2020-11-04 19:13:32,35.39,0, , , , 
2020-11-04 19:14:32,35.39,0, , , , 
2020-11-04 19:15:32,35.39,0, , , , 
2020-11-04 19:16:32,35.35,0, , , , 
2020-11-04 19:17:32,35.35,0, , , , 
2020-11-04 19:18:32,35.39,0, , , , 
2020-11-04 19:19:32,35.35,0, , , , 
2020-11-04 19:20:32,35.35,0, , , , 
2020-11-04 19:21:32,35.26,0, , , , 
2020-11-04 19:22:32,35.35,0, , , , 
2020-11-04 19:23:32,35.26,0, , , , 
2020-11-04 19:24:32,35.22,0, , , , 
2020-11-04 19:25:32,35.13,0, , , , 
2020-11-04 19:26:32,35.00,0, , , , 
2020-11-04 19:27:32,34.88,0, , , , 
2020-11-04 19:28:32,34.75,0, , , , 
2020-11-04 19:29:32,34.66,0, , , , 
2020-11-04 19:30:32,34.53,0, , , , 
2020-11-04 19:31:32,34.45,0, , , , 
2020-11-04 19:32:32,34.36,0, , , , 
2020-11-04 19:33:32,34.40,0, , , , 
2020-11-04 19:34:32,34.40,0, , , , 
2020-11-04 19:35:32,34.36,0, , , , 
2020-11-04 19:36:32,34.36,0, , , , 
2020-11-04 19:37:32,34.36,0, , , , 
2020-11-04 19:38:32,34.36,0, , , , 
2020-11-04 19:39:32,34.36,0, , , , 
2020-11-04 19:40:32,34.32,0, , , , 
2020-11-04 19:41:32,34.32,0, , , , 
2020-11-04 19:42:32,34.36,0, , , , 
2020-11-04 19:43:32,34.36,0, , , , 
2020-11-04 19:44:32,34.27,0, , , , 
2020-11-04 19:45:32,34.36,0, , , , 
2020-11-04 19:46:32,34.36,0, , , , 
2020-11-04 19:47:32,34.40,0, , , , 
2020-11-04 19:48:32,34.32,0, , , , 
2020-11-04 19:49:32,34.27,0, , , , 
2020-11-04 19:50:32,34.32,0, , , , 
2020-11-04 19:51:32,34.36,0, , , , 
2020-11-04 19:52:32,34.32,0, , , , 
2020-11-04 19:53:32,34.27,0, , , , 
2020-11-04 19:54:32,34.27,0, , , , 
2020-11-04 19:55:32,34.32,0, , , , 
2020-11-04 19:56:32,34.32,0, , , , 
2020-11-04 19:57:32,34.32,0, , , , 
2020-11-04 19:58:32,34.36,0, , , , 
2020-11-04 19:59:32,34.36,0, , , , 
2020-11-04 20:00:32,34.32,0, , , , 
2020-11-04 20:01:32,34.32,0, , , , 
2020-11-04 20:02:32,34.32,0, , , , 
2020-11-04 20:03:32,34.32,0, , , , 
2020-11-04 20:04:32,34.23,0, , , , 
2020-11-04 20:05:32,34.19,0, , , , 
2020-11-04 20:06:32,34.10,0, , , , 
2020-11-04 20:07:32,33.89,0, , , , 
2020-11-04 20:08:32,33.80,0, , , , 
2020-11-04 20:09:32,33.72,0, , , , 
2020-11-04 20:10:32,33.59,0, , , , 
2020-11-04 20:11:32,33.50,0, , , , 
2020-11-04 20:12:32,33.42,0, , , , 
2020-11-04 20:13:32,33.33,0, , , , 
2020-11-04 20:14:32,33.37,0, , , , 
2020-11-04 20:15:32,33.29,0, , , , 
2020-11-04 20:16:32,33.33,0, , , , 
2020-11-04 20:17:32,33.29,0, , , , 
2020-11-04 20:18:32,33.25,0, , , , 
2020-11-04 20:19:32,33.29,0, , , , 
2020-11-04 20:20:32,33.29,0, , , , 
2020-11-04 20:21:32,33.29,0, , , , 
2020-11-04 20:22:32,33.20,0, , , , 
2020-11-04 20:23:32,33.25,0, , , , 
2020-11-04 20:24:32,33.29,0, , , , 
2020-11-04 20:25:32,33.25,0, , , , 
2020-11-04 20:26:32,33.25,0, , , , 
2020-11-04 20:27:32,33.25,0, , , , 
2020-11-04 20:28:32,33.29,0, , , , 
2020-11-04 20:29:32,33.29,0, , , , 
2020-11-04 20:30:32,33.25,0, , , , 
2020-11-04 20:31:32,33.20,0, , , , 
2020-11-04 20:32:32,33.25,0, , , , 
2020-11-04 20:33:32,33.29,0, , , , 
2020-11-04 20:34:32,33.25,0, , , , 
2020-11-04 20:35:32,33.29,0, , , , 
2020-11-04 20:36:32,33.33,0, , , , 
2020-11-04 20:37:32,33.29,0, , , , 
2020-11-04 20:38:32,33.29,0, , , , 
2020-11-04 20:39:32,33.25,0, , , , 
2020-11-04 20:40:32,33.29,0, , , , 
2020-11-04 20:41:32,33.29,0, , , , 
2020-11-04 20:42:32,33.33,0, , , , 
2020-11-04 20:43:32,33.20,0, , , , 
2020-11-04 20:44:32,33.12,0, , , , 
2020-11-04 20:45:32,33.03,0, , , , 
2020-11-04 20:46:32,32.86,0, , , , 
2020-11-04 20:47:32,32.77,0, , , , 
2020-11-04 20:48:32,32.64,0, , , , 
2020-11-04 20:49:32,32.56,0, , , , 
2020-11-04 20:50:32,32.43,0, , , , 
2020-11-04 20:51:32,32.34,0, , , , 
2020-11-04 20:52:32,32.34,0, , , , 
2020-11-04 20:53:32,32.34,0, , , , 
2020-11-04 20:54:32,32.34,0, , , , 
2020-11-04 20:55:32,32.30,0, , , , 
2020-11-04 20:56:32,32.26,0, , , , 
2020-11-04 20:57:32,32.34,0, , , , 
2020-11-04 20:58:32,32.34,0, , , , 
2020-11-04 20:59:32,32.30,0, , , , 
2020-11-04 21:00:32,32.26,0, , , , 
2020-11-04 21:01:32,32.22,0, , , , 
2020-11-04 21:02:32,32.30,0, , , , 
2020-11-04 21:03:32,32.30,0, , , , 
2020-11-04 21:04:32,32.26,0, , , , 
2020-11-04 21:05:32,32.26,0, , , , 
2020-11-04 21:06:32,32.30,0, , , , 
2020-11-04 21:07:32,32.30,0, , , , 
2020-11-04 21:08:32,32.26,0, , , , 
2020-11-04 21:09:32,32.26,0, , , , 
2020-11-04 21:10:32,32.30,0, , , , 
2020-11-04 21:11:32,32.26,0, , , , 
2020-11-04 21:12:32,32.26,0, , , , 
2020-11-04 21:13:32,32.22,0, , , , 
2020-11-04 21:14:32,32.26,0, , , , 
2020-11-04 21:15:32,32.30,0, , , , 
2020-11-04 21:16:32,32.34,0, , , , 
2020-11-04 21:17:32,32.26,0, , , , 
2020-11-04 21:18:32,32.22,0, , , , 
2020-11-04 21:19:32,32.30,0, , , , 
2020-11-04 21:20:32,32.30,0, , , , 
2020-11-04 21:21:32,32.30,0, , , , 
2020-11-04 21:22:32,32.26,0, , , , 
2020-11-04 21:23:32,32.22,0, , , , 
2020-11-04 21:24:32,32.09,0, , , , 
2020-11-04 21:25:32,32.00,0, , , , 
2020-11-04 21:26:32,31.87,0, , , , 
2020-11-04 21:27:32,31.74,0, , , , 
2020-11-04 21:28:32,31.61,0, , , , 
2020-11-04 21:29:32,31.53,0, , , , 
2020-11-04 21:30:32,31.44,0, , , , 
2020-11-04 21:31:32,31.31,0, , , , 
2020-11-04 21:32:32,31.23,0, , , , 
2020-11-04 21:33:32,31.27,0, , , , 
2020-11-04 21:34:32,31.27,0, , , , 
2020-11-04 21:35:32,31.27,0, , , , 
2020-11-04 21:36:32,31.23,0, , , , 
2020-11-04 21:37:32,31.19,0, , , , 
2020-11-04 21:38:32,31.23,0, , , , 
2020-11-04 21:39:32,31.23,0, , , , 
2020-11-04 21:40:32,31.27,0, , , , 
2020-11-04 21:41:32,31.14,0, , , , 
2020-11-04 21:42:32,31.19,0, , , , 
2020-11-04 21:43:32,31.23,0, , , , 
2020-11-04 21:44:32,31.23,0, , , , 
2020-11-04 21:45:32,31.27,0, , , , 
2020-11-04 21:46:32,31.19,0, , , , 
2020-11-04 21:47:32,31.19,0, , , , 
2020-11-04 21:48:32,31.19,0, , , , 
2020-11-04 21:49:32,31.23,0, , , , 
2020-11-04 21:50:32,31.19,0, , , , 
2020-11-04 21:51:32,31.19,0, , , , 
2020-11-04 21:52:32,31.23,0, , , , 
